PUBLIC LISTED COMPANIES,ticker
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250.KL
ABF MALAYSIA BOND INDEX FUND,0800EA.KL
ABLE GLOBAL BERHAD,7167.KL
ABLEGROUP BERHAD,7086.KL
ABM FUJIYA BERHAD,5198.KL
ACME HOLDINGS BERHAD,7131.KL
ACO GROUP BERHAD,0218.KL
ADVANCE INFORMATION MARKETING BERHAD,0122.KL
ADVANCE SYNERGY BERHAD,1481.KL
ADVANCECON HOLDINGS BERHAD,5281.KL
ADVENTA BERHAD,7191.KL
AE MULTI HOLDINGS BERHAD,7146.KL
AEMULUS HOLDINGS BERHAD,0181.KL
AEON CO. (M) BHD,6599.KL
AEON CREDIT SERVICE (M) BERHAD,5139.KL
AFFIN BANK BERHAD,5185.KL
AGESON BERHAD,7145.KL
AGMO HOLDINGS BERHAD,0258.KL
AGRICORE CS HOLDINGS BERHAD,0309.KL
AGX GROUP BERHAD,0299.KL
AHB HOLDINGS BERHAD,7315.KL
AHMAD ZAKI RESOURCES BERHAD,7078.KL
AIMFLEX BERHAD,0209.KL
AIRASIA X BERHAD,5238.KL
AJINOMOTO (MALAYSIA) BERHAD,2658.KL
AJIYA BERHAD,7609.KL
ALAM MARITIM RESOURCES BERHAD,5115.KL
AL-'AQAR HEALTHCARE REIT,5116.KL
ALCOM GROUP BERHAD,2674.KL
ALDRICH RESOURCES BERHAD,0079.KL
ALLIANCE BANK MALAYSIA BERHAD,2488.KL
ALLIANZ MALAYSIA BERHAD,1163.KL
ALPHA IVF GROUP BERHAD,0303.KL
AL-SALAM REAL ESTATE INVESTMENT TRUST,5269.KL
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127.KL
AME ELITE CONSORTIUM BERHAD,5293.KL
AME REAL ESTATE INVESTMENT TRUST,5307.KL
AMFIRST REAL ESTATE INVESTMENT TRUST,5120.KL
AMMB HOLDINGS BERHAD,1015.KL
AMTEL HOLDINGS BERHAD,7031.KL
AMWAY (MALAYSIA) HOLDINGS BERHAD,6351.KL
ANALABS RESOURCES BERHAD,7083.KL
ANCOM LOGISTICS BERHAD,0048.KL
ANCOM NYLEX BERHAD,4758.KL
ANEKA JARINGAN HOLDINGS BERHAD,0226.KL
ANN JOO RESOURCES BERHAD,6556.KL
APB RESOURCES BERHAD,5568.KL
APEX EQUITY HOLDINGS BERHAD,5088.KL
APEX HEALTHCARE BERHAD,7090.KL
APM AUTOMOTIVE HOLDINGS BERHAD,5015.KL
APOLLO FOOD HOLDINGS BERHAD,6432.KL
APPASIA BERHAD,0119.KL
A-RANK BERHAD,7214.KL
ARB BERHAD,7181.KL
ARK RESOURCES HOLDINGS BERHAD,7007.KL
ARKA BERHAD,7218.KL
ARTRONIQ BERHAD,0038.KL
ASDION BERHAD,0068.KL
ASIA BRANDS BERHAD,7722.KL
ASIA FILE CORPORATION BHD,7129.KL
ASIA POLY HOLDINGS BERHAD,0105.KL
ASIAN PAC HOLDINGS BERHAD,4057.KL
ASTEEL GROUP BERHAD,7020.KL
ASTINO BERHAD,7162.KL
ASTRAL ASIA BERHAD,7054.KL
ASTRO MALAYSIA HOLDINGS BERHAD,6399.KL
AT SYSTEMATIZATION BERHAD,0072.KL
ATA IMS BERHAD,8176.KL
ATLAN HOLDINGS BHD,7048.KL
ATRIUM REAL ESTATE INVESTMENT TRUST,5130.KL
AURELIUS TECHNOLOGIES BERHAD,5302.KL
AURO HOLDINGS BERHAD,5025.KL
AUTOCOUNT DOTCOM BERHAD,0276.KL
AVALAND BERHAD,5182.KL
AVILLION BERHAD,8885.KL
AWANBIRU TECHNOLOGY BERHAD,5204.KL
AWC BERHAD,7579.KL
AXIATA GROUP BERHAD,6888.KL
AXIS REAL ESTATE INVESTMENT TRUST,5106.KL
AXTERIA GROUP BERHAD,7120.KL
AYER HOLDINGS BERHAD,2305.KL
AYS VENTURES BERHAD,5021.KL
B.I.G. INDUSTRIES BERHAD,7005.KL
BAHVEST RESOURCES BERHAD,0098.KL
BANK ISLAM MALAYSIA BERHAD,5258.KL
BARAKAH OFFSHORE PETROLEUM BERHAD,7251.KL
BATU KAWAN BERHAD,1899.KL
BCB BERHAD,6602.KL
BCM ALLIANCE BERHAD,0187.KL
BENALEC HOLDINGS BERHAD,5190.KL
BERJAYA ASSETS BERHAD,3239.KL
BERJAYA CORPORATION BERHAD,3395.KL
BERJAYA FOOD BERHAD,5196.KL
BERJAYA LAND BERHAD,4219.KL
BERMAZ AUTO BERHAD,5248.KL
BERTAM ALLIANCE BERHAD,9814.KL
BESHOM HOLDINGS BERHAD,7668.KL
BETAMEK BERHAD,0263.KL
BINA DARULAMAN BERHAD,6173.KL
BINA PURI HOLDINGS BHD,5932.KL
BINASAT COMMUNICATIONS BERHAD,0195.KL
BINASTRA CORPORATION BERHAD,7195.KL
BINTAI KINDEN CORPORATION BERHAD,6998.KL
BINTULU PORT HOLDINGS BERHAD,5032.KL
BIOALPHA HOLDINGS BERHAD,0179.KL
BLD PLANTATION BHD.,5069.KL
BM GREENTECH BERHAD,0168.KL
BONIA CORPORATION BERHAD,9288.KL
BORNEO OIL BERHAD,7036.KL
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133.KL
BOX-PAK (MALAYSIA) BERHAD,6297.KL
BP PLASTICS HOLDING BHD,5100.KL
BRIGHT PACKAGING INDUSTRY BERHAD,9938.KL
BRITE-TECH BERHAD,0011.KL
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,4162.KL
BSL CORPORATION BERHAD,7221.KL
BTM RESOURCES BERHAD,7188.KL
BUMI ARMADA BERHAD,5210.KL
BURSA MALAYSIA BERHAD,1818.KL
BV LAND HOLDINGS BERHAD,3042.KL
BWYS GROUP BERHAD,0313.KL
C.I. HOLDINGS BERHAD,2828.KL
CAB CAKARAN CORPORATION BERHAD,7174.KL
CABNET HOLDINGS BERHAD,0191.KL
CAHYA MATA SARAWAK BERHAD,2852.KL
CAM RESOURCES BERHAD,7128.KL
CAN-ONE BERHAD,5105.KL
CAPE EMS BERHAD,5311.KL
CAPITAL A BERHAD,5099.KL
